dwbn,wbn,lat,long,order
DSP14948038298465997286,593131133173,12.95697463,77.6401957,1
DSP14948038298465997286,593131581431,12.96104538,77.64763458,2
DSP14948038298465997286,596316215814,12.961,77.649,3
DSP14948038298465997286,1950131958141,12.9564475,77.69002355,4
DSP14948038298465997286,58010196066,13.2566215,78.07471235,5
DSP14948038298465997286,1073010772365,12.9556128,77.6980226,6
DSP14948038298465997286,S578421499703,12.95652775,77.6669444,7
DSP14948038298465997286,924312942822,12.95733,77.65705,8
DSP14948038298465997286,131100958372,12.95909185,77.6564957,9
DSP14948038298465997286,323325998846,12.9592186,77.6562249,10
DSP14948038298465997286,13171747560,12.959,77.655,11
DSP14948038298465997286,131100824672,12.958901,77.6543525,12
DSP14948038298465997286,593132580644,12.958901,77.6543525,12
DSP14948038298465997286,596316822655,12.956,77.6532,13
DSP14948038298465997286,593131498934,12.9532,77.6532,14
DSP14948038298465997286,589410178942,12.9556081,77.6512858,15
DSP14948038298465997286,518052435073,12.95535423,77.65103665,16
DSP14948038298465997286,323326511622,12.9528487,77.6498987,17
DSP14948038298465997286,13171611653,12.95049855,77.65509,18
DSP14948038298465997286,1950131799440,12.9553998,77.65561065,19
DSP14948038298465997286,506610113271,12.9553044,77.655089,20
DSP14948038298465997286,518057955634,12.957695,77.6540175,21
DSP14948038298465997286,131101003673,12.9590475,77.6518447,22
DSP14948038298465997286,1073010665560,12.9596532,77.64998415,23
DSP14948038298465997286,13171772900,12.9596532,77.64998415,23
DSP14948038298465997286,924312780013,12.9562876,77.6493394,24
DSP14948038298465997286,593131455162,12.9564911,77.6496168,25
DSP14948038298465997286,596316871283,12.9595872,77.6493743,26
DSP14948038298465997286,13171633526,12.958956,77.648163,27
DSP14948038298465997286,195059185124,12.958956,77.648163,27
DSP14948038298465997286,593132598354,12.958956,77.648163,27
DSP14948038298465997286,S1011910090580,12.9650715,77.62463135,29
DSP14948038298465997286,S1011910094533,12.9650715,77.62463135,29
DSP14948038298465997286,1950131916373,12.96541,77.62508455,30
DSP14948038298465997286,13182353492,12.96489565,77.6283444,31
DSP14948038298465997286,1073010681262,12.9650674,77.63121655,32
DSP14948038298465997286,131100896120,12.96551715,77.6257397,33
DSP14948038298465997286,183610338704,12.96422645,77.63575528,34
DSP14948038298465997286,1950132135801,12.9638145,77.62392665,35
DSP14948038298465997286,1073010795664,12.96551455,77.6213838,36
DSP14948038298465997286,384510232934,12.96501005,77.62166675,37
DSP14948038298465997286,414110001330,12.96138633,77.62033445,38
